order_id,user_id,driver_id,vendor_id,device_id,market,vertical,amount,status,claim_reason,event_ts,abuse_label,abuse_label_weak,fraud_label,fraud_label_source,strong_fraud_label,weak_policy_negative
O-ABUSE-0,UA0,DA0,VA0,DEVA0,SG,food,55,delivered,missing_item,2026-07-27T00:00:00+00:00,1,1,0,,0,0
O-ABUSE-1,UA1,DA1,VA1,DEVA1,SG,food,55,delivered,missing_item,2026-07-27T01:00:00+00:00,1,0,0,,0,0
O-ABUSE-2,UA2,DA2,VA2,DEVA2,SG,food,55,delivered,missing_item,2026-07-27T02:00:00+00:00,1,1,0,,0,0
O-ABUSE-3,UA3,DA0,VA0,DEVA3,SG,food,55,delivered,missing_item,2026-07-27T03:00:00+00:00,1,0,0,,0,0
O-ABUSE-4,UA4,DA1,VA1,DEVA4,SG,food,55,delivered,missing_item,2026-07-27T04:00:00+00:00,1,1,0,,0,0
O-ABUSE-5,UA5,DA2,VA2,DEVA5,SG,food,55,delivered,missing_item,2026-07-27T05:00:00+00:00,1,0,0,,0,0
O-ABUSE-6,UA6,DA0,VA0,DEVA6,SG,food,55,delivered,missing_item,2026-07-27T06:00:00+00:00,1,1,0,,0,0
O-ABUSE-7,UA7,DA1,VA1,DEVA7,SG,food,55,delivered,missing_item,2026-07-27T07:00:00+00:00,1,0,0,,0,0
O-ABUSE-8,UA8,DA2,VA2,DEVA8,SG,food,55,delivered,missing_item,2026-07-27T08:00:00+00:00,1,1,0,,0,0
O-ABUSE-9,UA9,DA0,VA0,DEVA9,SG,food,55,delivered,missing_item,2026-07-27T09:00:00+00:00,1,0,0,,0,0
O-ABUSE-10,UA10,DA1,VA1,DEVA10,SG,food,55,delivered,missing_item,2026-07-27T10:00:00+00:00,1,1,0,,0,0
O-ABUSE-11,UA11,DA2,VA2,DEVA11,SG,food,55,delivered,missing_item,2026-07-27T11:00:00+00:00,1,0,0,,0,0
O-ABUSE-12,UA12,DA0,VA0,DEVA12,SG,food,55,delivered,missing_item,2026-07-27T12:00:00+00:00,1,1,0,,0,0
O-ABUSE-13,UA13,DA1,VA1,DEVA13,SG,food,55,delivered,missing_item,2026-07-27T13:00:00+00:00,1,0,0,,0,0
O-ABUSE-14,UA14,DA2,VA2,DEVA14,SG,food,55,delivered,missing_item,2026-07-27T14:00:00+00:00,1,1,0,,0,0
O-FRAUD-0,UF0,DF0,VF0,DEVF0,SG,food,90,delivered,wrong_order,2026-07-28T00:00:00+00:00,1,0,1,proven,1,0
O-FRAUD-1,UF1,DF0,VF0,DEVF1,SG,food,90,delivered,wrong_order,2026-07-28T01:00:00+00:00,1,0,1,proven,1,0
O-FRAUD-2,UF2,DF0,VF0,DEVF0,SG,food,90,delivered,wrong_order,2026-07-28T02:00:00+00:00,1,0,1,proven,1,0
O-FRAUD-3,UF3,DF0,VF0,DEVF1,SG,food,90,delivered,wrong_order,2026-07-28T03:00:00+00:00,1,0,1,proven,1,0
O-FRAUD-4,UF4,DF0,VF0,DEVF0,SG,food,90,delivered,wrong_order,2026-07-28T04:00:00+00:00,1,0,1,proven,1,0
O-FRAUD-5,UF5,DF0,VF0,DEVF1,SG,food,90,delivered,wrong_order,2026-07-28T05:00:00+00:00,1,0,1,proven,1,0
O-FRAUD-6,UF6,DF0,VF0,DEVF0,SG,food,90,delivered,wrong_order,2026-07-28T06:00:00+00:00,1,0,1,proven,1,0
O-FRAUD-7,UF7,DF0,VF0,DEVF1,SG,food,90,delivered,wrong_order,2026-07-28T07:00:00+00:00,1,0,1,proven,1,0
O-FRAUD-8,UF8,DF0,VF0,DEVF0,SG,food,90,delivered,wrong_order,2026-07-28T08:00:00+00:00,1,0,1,proxy,0,0
O-FRAUD-9,UF9,DF0,VF0,DEVF1,SG,food,90,delivered,wrong_order,2026-07-28T09:00:00+00:00,1,0,1,proxy,0,0
O-FRAUD-10,UF10,DF0,VF0,DEVF0,SG,food,90,delivered,wrong_order,2026-07-28T10:00:00+00:00,1,0,1,proxy,0,0
O-FRAUD-11,UF11,DF0,VF0,DEVF1,SG,food,90,delivered,wrong_order,2026-07-28T11:00:00+00:00,1,0,1,proxy,0,0
O-PROXY-0,UP0,DP0,VP0,DEVP0,ID,qcommerce,35,delivered,missing_item,2026-07-29T00:00:00+00:00,1,1,0,,0,0
O-PROXY-1,UP1,DP0,VP0,DEVP1,ID,qcommerce,35,delivered,missing_item,2026-07-29T01:00:00+00:00,1,1,0,,0,0
O-PROXY-2,UP2,DP0,VP0,DEVP2,ID,qcommerce,35,delivered,missing_item,2026-07-29T02:00:00+00:00,1,1,0,,0,0
O-PROXY-3,UP3,DP0,VP0,DEVP0,ID,qcommerce,35,delivered,missing_item,2026-07-29T03:00:00+00:00,1,1,0,,0,0
O-PROXY-4,UP4,DP0,VP0,DEVP1,ID,qcommerce,35,delivered,missing_item,2026-07-29T04:00:00+00:00,1,1,0,,0,0
O-PROXY-5,UP5,DP0,VP0,DEVP2,ID,qcommerce,35,delivered,missing_item,2026-07-29T05:00:00+00:00,1,1,0,,0,0
O-PROXY-6,UP6,DP0,VP0,DEVP0,ID,qcommerce,35,delivered,missing_item,2026-07-29T06:00:00+00:00,1,1,0,,0,0
O-PROXY-7,UP7,DP0,VP0,DEVP1,ID,qcommerce,35,delivered,missing_item,2026-07-29T07:00:00+00:00,1,1,0,,0,0
O-PROXY-8,UP8,DP0,VP0,DEVP2,ID,qcommerce,35,delivered,missing_item,2026-07-29T08:00:00+00:00,1,1,0,,0,0
O-PROXY-9,UP9,DP0,VP0,DEVP0,ID,qcommerce,35,delivered,missing_item,2026-07-29T09:00:00+00:00,1,1,0,,0,0
O-WEAK-0,UW0,DW0,VW0,DEVW0,SG,food,22,delivered,quality,2026-07-25T00:00:00+00:00,0,0,0,,0,1
O-WEAK-1,UW1,DW1,VW1,DEVW1,SG,food,22,delivered,quality,2026-07-25T01:00:00+00:00,0,0,0,,0,1
O-WEAK-2,UW2,DW0,VW0,DEVW2,SG,food,22,delivered,quality,2026-07-25T02:00:00+00:00,0,0,0,,0,1
O-WEAK-3,UW3,DW1,VW1,DEVW3,SG,food,22,delivered,quality,2026-07-25T03:00:00+00:00,0,0,0,,0,1
O-WEAK-4,UW4,DW0,VW0,DEVW4,SG,food,22,delivered,quality,2026-07-25T04:00:00+00:00,0,0,0,,0,1
O-WEAK-5,UW5,DW1,VW1,DEVW5,SG,food,22,delivered,quality,2026-07-25T05:00:00+00:00,0,0,0,,0,1
O-WEAK-6,UW6,DW0,VW0,DEVW6,SG,food,22,delivered,quality,2026-07-25T06:00:00+00:00,0,0,0,,0,1
O-WEAK-7,UW7,DW1,VW1,DEVW7,SG,food,22,delivered,quality,2026-07-25T07:00:00+00:00,0,0,0,,0,1
O-NEW-0,UN0,DN0,VN0,DEVN0,SG,food,25,delivered,quality,2026-07-27T00:00:00+00:00,0,0,0,,0,0
O-NEW-1,UN1,DN1,VN1,DEVN1,SG,food,25,delivered,quality,2026-07-27T01:00:00+00:00,0,0,0,,0,0
O-NEW-2,UN2,DN2,VN2,DEVN2,SG,food,25,delivered,quality,2026-07-27T02:00:00+00:00,0,0,0,,0,0
O-NEW-3,UN3,DN3,VN3,DEVN3,SG,food,25,delivered,quality,2026-07-27T03:00:00+00:00,0,0,0,,0,0
O-NEW-4,UN4,DN4,VN4,DEVN4,SG,food,25,delivered,quality,2026-07-27T04:00:00+00:00,0,0,0,,0,0
O-NEWRING-0,UNR0,DF0,VF0,DEVF0,SG,food,30,delivered,missing_item,2026-07-28T00:00:00+00:00,1,1,0,,0,0
O-NEWRING-1,UNR1,DF0,VF0,DEVF1,SG,food,30,delivered,missing_item,2026-07-28T01:00:00+00:00,1,1,0,,0,0
O-NEWRING-2,UNR2,DF0,VF0,DEVF0,SG,food,30,delivered,missing_item,2026-07-28T02:00:00+00:00,1,1,0,,0,0
O-BURN-0,UB0,D0,V0,DEVB0,SG,food,40,delivered,missing_item,2026-07-28T00:00:00+00:00,1,0,0,,0,0
O-BURN-1,UB1,D1,V1,DEVB1,SG,food,40,delivered,missing_item,2026-07-28T01:00:00+00:00,1,0,0,,0,0
O-BURN-2,UB2,D2,V2,DEVB2,SG,food,40,delivered,missing_item,2026-07-28T02:00:00+00:00,1,0,0,,0,0
O-BURN-3,UB3,D3,V3,DEVB3,SG,food,40,delivered,missing_item,2026-07-28T03:00:00+00:00,1,0,0,,0,0
